customer_id,customer_name,city,signup_date
1,Harita Som,Alwar,2025-02-11
2,Abeer Shukla,Satara,2025-10-27
3,Nikita Chakrabarti,Uluberia,2024-10-26
4,Nidhi Sehgal,Sonipat,2025-08-26
5,Yashoda Uppal,Kozhikode,2026-06-21
6,,Sambhal,2024-02-02
7,Shaurya Dugal,Sri Ganganagar,2024-10-21
8,Zehaan Naidu,Kolkata,2023-10-02
9,Abhiram Munshi,Nandyal,2025-07-15
10,Arya Arora,Kochi,2023-09-06
11,Triveni Banerjee,Haldia,2024-01-20
12,Kritika Tata,Kanpur,2024-12-30
13,Bhavika Prakash,Gurgaon,2024-05-18
14,Ladli Bail,New Delhi,2024-09-12
15,Oscar Sachdeva,Muzaffarpur,2025-09-19
16,Liam Madan,JAIPUR,2025-04-06
17,Zayyan Seth,jaipur,2024-01-18
18,Tanvi Deshmukh, Jaipur ,2024-07-15
19,Vedant Om,Ozhukarai,2024-04-24
20,Dakshesh Mukhopadhyay,Ichalkaranji,2025-02-25
21,Samaksh Aggarwal,Moradabad,2026-05-30
22,Ekiya Jha,Amroha,2025-02-08
23,Oscar Ganesh,Bhind,2026-05-08
24,Jacob Choudhry,Gurgaon,2025-09-16
25,Janani Murty,Kottayam,2026-03-22
26,Xiti Narayan,Madhyamgram,2026-02-18
27,Gavin Wagle,Vijayanagaram,2024-06-03
28,Yuvraj Chowdhury,Panchkula,2024-03-29
29,Harini Buch,Mysore,2024-09-21
30,Jagrati Mangat,Jalandhar,2024-04-14
31,Mekhala Barad,Bhilwara,2025-10-08
32,Vincent Date,Akola,2026-01-16
33,Jagvi Brar,Surat,2026-05-17
34,Prisha Ray,Ichalkaranji,2023-08-23
35,Anay Borah,Alappuzha,2025-09-27
36,Vivaan Gour,Danapur,2024-02-02
37,Balveer Kaur,Rohtak,2025-04-26
38,Mitesh Chaudhuri,Allahabad,2024-04-03
39,Vanya Goswami,Ulhasnagar,2025-06-20
40,Reva Chad,Nagpur,2025-08-01
41,Anusha Raman,Bikaner,2024-04-22
42,Gautam Nadig,Hapur,2024-10-20
43,Jeet Pingle,Thiruvananthapuram,2025-06-22
44,Tanish Mital,Tezpur,2024-09-12
45,Jasmit Kadakia,Hyderabad,2024-06-06
46,Isaac Dave,Kanpur,2025-12-01
47,Caleb Shah,Jodhpur,2025-10-11
48,Manthan Virk,Tiruppur,2025-02-08
49,Udyati Parekh,Tadepalligudem,2024-11-20
50,Theodore Shroff,Bhatpara,2025-10-12
51,Netra Bansal,Secunderabad,2025-08-28
52,Wakeeta Kalla,Sikar,2026-05-08
53,Upasna Dugar,Tumkur,2023-10-14
54,Omisha Brahmbhatt,Dibrugarh,2025-04-25
55,Omya Kumar,Hosur,2025-05-10
56,Chatura Ratti,Ambala,2025-08-05
57,Hemani Behl,Gorakhpur,2024-11-24
58,Aarav Sethi,Bettiah,2025-05-31
59,Brinda Prasad,Loni,2024-04-24
60,Ishani Kant,Kharagpur,2024-06-21
61,Rachit Chacko,Amritsar,2025-10-15
62,Vaishnavi Wali,Bharatpur,2024-04-28
63,Fariq Pal,Agartala,2026-02-21
64,Nandini Sandhu,Tezpur,2024-01-13
65,Chanakya Golla,Pallavaram,2026-04-13
66,Turvi Ganesh,Madanapalle,2025-06-07
67,Falguni Ghosh,Bijapur,2026-01-25
68,Ekantika Iyengar,Chinsurah,2025-02-07
69,Dayamai Rajan,Purnia,2024-11-10
70,Nandini Banik,Begusarai,2025-09-02
71,Bahadurjit Jayaraman,Aizawl,2023-11-21
72,Luke Ram,Karimnagar,2025-07-26
73,Inaya Palla,Vadodara,2026-06-16
74,Max Karan,Sonipat,2023-11-11
75,Ijaya Pillay,Mira-Bhayandar,2025-12-06
76,Abhiram Pillai,Morbi,2026-05-02
77,Mohini Kumer,Tadipatri,2023-11-18
78,Chandani Sachar,Bhilwara,2024-02-27
79,Leena Rama,Guwahati,2026-01-12
80,Kala Rao,Vijayawada,2023-11-01
81,Azad Reddy,Nagpur,2025-08-06
82,Elijah Kulkarni,Bikaner,2024-06-07
83,Pooja Das,Sultan Pur Majra,2023-12-29
